Gene stable ID,Gene name,NCBI gene ID,Gene stable ID,Gene name
ENSG00000198912,C1orf174,339448,ENSDARG00000069009,si:ch211-147a11.3
ENSG00000136271,DDX56,54606,ENSDARG00000020913,ddx56
ENSG00000141696,P3H4,10609,ENSDARG00000104089,p3h4
ENSG00000174080,CTSF,8722,ENSDARG00000036940,ctss1
ENSG00000073578,SDHA,6389,ENSDARG00000016721,sdha
ENSG00000182827,ACBD3,64746,ENSDARG00000042623,acbd3
ENSG00000114770,ABCC5,10057,ENSDARG00000061233,abcc5
ENSG00000177000,MTHFR,4524,ENSDARG00000053087,mthfr
ENSG00000172543,CTSW,1521,ENSDARG00000036940,ctss1
ENSG00000154079,SDHAF4,135154,ENSDARG00000039390,sdhaf4
ENSG00000174446,SNAPC5,10302,ENSDARG00000062476,snapc5
ENSG00000260272,AC093525.2,,ENSDARG00000069339,tbc1d24
ENSG00000091262,ABCC6,368,ENSDARG00000062519,abcc13
ENSG00000109066,TMEM104,54868,ENSDARG00000088560,tmem104
ENSG00000113810,SMC4,10051,ENSDARG00000038882,smc4
ENSG00000162669,HFM1,164045,ENSDARG00000104288,hfm1
ENSG00000137251,TINAG,27283,ENSDARG00000036940,ctss1
ENSG00000152763,WDR78,79819,ENSDARG00000044400,wdr78
ENSG00000130270,ATP8B3,148229,ENSDARG00000042285,atp8b3
ENSG00000067208,EVI5,7813,ENSDARG00000070839,evi5b
ENSG00000172508,CARNS1,57571,ENSDARG00000024160,hao1
ENSG00000213123,TCTEX1D2,255758,ENSDARG00000054255,tctex1d2
ENSG00000088854,C20orf194,25943,ENSDARG00000079056,si:ch211-194c3.5
ENSG00000111615,KRR1,11103,ENSDARG00000011246,krr1
ENSG00000181991,MRPS11,64963,ENSDARG00000075129,mrps11
ENSG00000164438,TLX3,30012,ENSDARG00000017615,tlx3b
ENSG00000139428,MMAB,326625,ENSDARG00000068344,mmab
ENSG00000131023,LATS1,9113,ENSDARG00000003751,lats1
ENSG00000154124,OTULIN,90268,ENSDARG00000079886,otulinb
ENSG00000188372,ZP3,7784,ENSDARG00000042129,zp3a.1
ENSG00000046647,GEMIN8,54960,ENSDARG00000053496,gemin8
ENSG00000143147,GPR161,23432,ENSDARG00000058903,si:ch211-237c6.4
ENSG00000106554,CHCHD3,54927,ENSDARG00000034933,chchd3b
ENSG00000165970,SLC6A5,9152,ENSDARG00000067964,slc6a5
ENSG00000172031,EPHX4,253152,ENSDARG00000099515,ephx4
ENSG00000167311,ART5,116969,ENSDARG00000094959,si:ch73-379f5.5
ENSG00000181852,RNF41,10193,ENSDARG00000036831,rnf41
ENSG00000171056,SOX7,83595,ENSDARG00000030125,sox7
ENSG00000156219,ART3,419,ENSDARG00000094959,si:ch73-379f5.5
ENSG00000163322,ABRAXAS1,84142,ENSDARG00000043339,abraxas1
ENSG00000157227,MMP14,4323,ENSDARG00000002235,mmp14a
ENSG00000113163,CERT1,10087,ENSDARG00000102372,cert1b
ENSG00000105866,SP4,6671,ENSDARG00000005186,sp4
ENSG00000127831,VIL1,7429,ENSDARG00000040466,vil1
ENSG00000143436,MRPL9,65005,ENSDARG00000063249,mrpl9
ENSG00000144566,RAB5A,5868,ENSDARG00000007257,rab5ab
ENSG00000146834,MEPCE,56257,ENSDARG00000035771,MEPCE
ENSG00000214782,MS4A18,728588,ENSDARG00000090552,si:dkey-7j14.6
ENSG00000214782,MS4A18,728588,ENSDARG00000091970,ms4a17a.3
ENSG00000164124,TMEM144,55314,ENSDARG00000037409,tmem144a
ENSG00000087250,MT3,4504,ENSDARG00000041623,mt2
ENSG00000181092,ADIPOQ,9370,ENSDARG00000062228,adipoqa
ENSG00000164040,PGRMC2,10424,ENSDARG00000030237,pgrmc2
ENSG00000180448,AC004151.1,23526,ENSDARG00000095174,arhgap45b
ENSG00000107521,HPS1,3257,ENSDARG00000026170,hps1
ENSG00000130985,UBA1,7317,ENSDARG00000061222,uba7
ENSG00000179918,SEPHS2,22928,ENSDARG00000017659,sephs2
ENSG00000117475,BLZF1,8548,ENSDARG00000011299,blzf1
ENSG00000165275,TRMT10B,158234,ENSDARG00000060176,trmt10b
ENSG00000123297,TSFM,10102,ENSDARG00000060748,tsfm
ENSG00000167114,SLC27A4,10999,ENSDARG00000017047,slc27a4
ENSG00000156925,ZIC3,7547,ENSDARG00000071497,zic3
ENSG00000144935,TRPC1,7220,ENSDARG00000061203,trpc1
ENSG00000198435,NRARP,441478,ENSDARG00000091419,nrarpa
ENSG00000198937,CCDC167,154467,ENSDARG00000045850,ccdc167
ENSG00000126970,ZC4H2,55906,ENSDARG00000015314,zc4h2
ENSG00000108561,C1QBP,708,ENSDARG00000039887,c1qbp
ENSG00000167508,MVD,4597,ENSDARG00000099336,mvda
ENSG00000143595,AQP10,89872,ENSDARG00000089749,aqp8b
ENSG00000276045,ORAI1,84876,ENSDARG00000004154,orai1b
ENSG00000102218,RP2,6102,ENSDARG00000044339,rp2
ENSG00000175785,PRIMA1,145270,ENSDARG00000077377,si:dkey-85n7.6
ENSG00000152234,ATP5F1A,498,ENSDARG00000010149,atp5fa1
ENSG00000173757,STAT5B,6777,ENSDARG00000055588,stat5b
ENSG00000134871,COL4A2,1284,ENSDARG00000104110,col4a2
ENSG00000155592,ZKSCAN2,342357,ENSDARG00000078256,ovol1b
ENSG00000155592,ZKSCAN2,342357,ENSDARG00000076657,plagl2
ENSG00000176946,THAP4,51078,ENSDARG00000077323,thap4
ENSG00000157851,DPYSL5,56896,ENSDARG00000059311,dpysl5b
ENSG00000132002,DNAJB1,3337,ENSDARG00000041394,dnajb1b
ENSG00000006062,MAP3K14,9020,ENSDARG00000074060,map3k14a
ENSG00000230626,AC011005.1,,ENSDARG00000006609,map2k2a
ENSG00000102125,TAZ,6901,ENSDARG00000041421,taz
ENSG00000183597,TANGO2,128989,ENSDARG00000056550,tango2
ENSG00000143653,SCCPDH,51097,ENSDARG00000024564,sccpdhb
ENSG00000170324,FRMPD2,143162,ENSDARG00000074119,frmpd2
ENSG00000161647,MPP3,4356,ENSDARG00000015184,mpp3a
ENSG00000132591,ERAL1,26284,ENSDARG00000059887,eral1
ENSG00000086015,MAST2,23139,ENSDARG00000074311,mast2
ENSG00000163328,GPR155,151556,ENSDARG00000071086,gpr155b
ENSG00000184374,COLEC10,10584,ENSDARG00000104752,COLEC10
ENSG00000109163,GNRHR,2798,ENSDARG00000038116,gnrhr4
ENSG00000160013,PTGIR,5739,ENSDARG00000038278,ptgir
ENSG00000134326,CMPK2,129607,ENSDARG00000031359,cmpk2
ENSG00000182220,ATP6AP2,10159,ENSDARG00000008735,atp6ap2
ENSG00000172725,CORO1B,57175,ENSDARG00000008660,coro1b
ENSG00000143556,S100A7,6278,ENSDARG00000055589,s100t
ENSG00000163879,DNALI1,7802,ENSDARG00000069815,dnali1
ENSG00000167641,PPP1R14A,94274,ENSDARG00000011239,ppp1r14aa
ENSG00000018699,TTC27,55622,ENSDARG00000007918,ttc27
ENSG00000147224,PRPS1,5631,ENSDARG00000015524,prps1a
ENSG00000172901,LVRN,206338,ENSDARG00000041083,anpepa
ENSG00000073792,IGF2BP2,10644,ENSDARG00000099758,igf2bp2b
ENSG00000032444,PNPLA6,10908,ENSDARG00000010773,pnpla6
ENSG00000134138,MEIS2,4212,ENSDARG00000098240,meis2a
ENSG00000182968,SOX1,6656,ENSDARG00000008131,sox1b
ENSG00000079616,KIF22,3835,ENSDARG00000102624,kif22
ENSG00000184162,NR2C2AP,126382,ENSDARG00000056162,nr2c2ap
ENSG00000147044,CASK,8573,ENSDARG00000059809,caska
ENSG00000169507,SLC38A11,151258,ENSDARG00000040257,slc38a11
ENSG00000243056,EIF4EBP3,8637,ENSDARG00000054916,eif4ebp3
ENSG00000082556,OPRK1,4986,ENSDARG00000006894,oprk1
ENSG00000166930,MS4A5,64232,ENSDARG00000090552,si:dkey-7j14.6
ENSG00000166930,MS4A5,64232,ENSDARG00000091970,ms4a17a.3
ENSG00000135390,ATP5MC2,517,ENSDARG00000009447,atp5mc3b
ENSG00000123213,NLN,57486,ENSDARG00000019233,nln
ENSG00000160716,CHRNB2,1141,ENSDARG00000017790,chrnb2
ENSG00000124787,RPP40,10799,ENSDARG00000017605,rpp40
ENSG00000138439,FAM117B,150864,ENSDARG00000074921,fam117ba
ENSG00000213281,NRAS,4893,ENSDARG00000038225,nras
ENSG00000160691,SHC1,6464,ENSDARG00000075437,shc1
ENSG00000138078,PREPL,9581,ENSDARG00000017853,prepl
ENSG00000122203,KIAA1191,57179,ENSDARG00000003127,zgc:123105
ENSG00000262664,OVCA2,124641,ENSDARG00000103748,ovca2
ENSG00000102007,PLP2,5355,ENSDARG00000036630,plp2
ENSG00000072609,CHFR,55743,ENSDARG00000075347,chfr
ENSG00000180318,ALX1,8092,ENSDARG00000062824,alx1
ENSG00000196372,ASB13,79754,ENSDARG00000045765,asb13a.2
ENSG00000101680,LAMA1,284217,ENSDARG00000102277,lama1
ENSG00000196935,SRGAP1,57522,ENSDARG00000045789,srgap1b
ENSG00000171988,JMJD1C,221037,ENSDARG00000079939,jmjd1cb
ENSG00000171766,GATM,2628,ENSDARG00000036239,gatm
ENSG00000213995,NAXD,55739,ENSDARG00000077119,naxd
ENSG00000180098,TRNAU1AP,54952,ENSDARG00000101323,trnau1apa
ENSG00000135966,TGFBRAP1,9392,ENSDARG00000061508,tgfbrap1
ENSG00000185046,ANKS1B,56899,ENSDARG00000003512,anks1b
ENSG00000076513,ANKRD13A,88455,ENSDARG00000061901,ankrd13a
ENSG00000167088,SNRPD1,6632,ENSDARG00000011648,snrpd1
ENSG00000164008,C1orf50,79078,ENSDARG00000071211,C11H1orf50
ENSG00000197057,DTHD1,401124,ENSDARG00000086452,dthd1
ENSG00000163590,PPM1L,151742,ENSDARG00000089641,ppm1lb
ENSG00000008083,JARID2,3720,ENSDARG00000062268,jarid2b
ENSG00000128928,IVD,3712,ENSDARG00000042853,ivd
ENSG00000159023,EPB41,2035,ENSDARG00000099283,epb41a
ENSG00000173214,MFSD4B,91749,ENSDARG00000079571,mfsd4b
ENSG00000183389,OR56A4,120793,ENSDARG00000054667,adra2db
ENSG00000285130,AL358113.1,,ENSDARG00000023443,tjp2b
ENSG00000185002,RFX6,222546,ENSDARG00000041702,rfx6
ENSG00000140044,JDP2,122953,ENSDARG00000040137,jdp2a
ENSG00000074410,CA12,771,ENSDARG00000045644,ca12
ENSG00000160218,TRAPPC10,7109,ENSDARG00000098118,trappc10
ENSG00000115306,SPTBN1,6711,ENSDARG00000105428,si:zfos-1837d3.1
ENSG00000146678,IGFBP1,3484,ENSDARG00000038666,igfbp1b
ENSG00000137513,NARS2,79731,ENSDARG00000098441,nars2
ENSG00000135299,ANKRD6,22881,ENSDARG00000057790,ankrd6a
ENSG00000103343,ZNF174,7727,ENSDARG00000078256,ovol1b
ENSG00000103343,ZNF174,7727,ENSDARG00000076657,plagl2
ENSG00000104872,PIH1D1,55011,ENSDARG00000037955,pih1d1
ENSG00000122591,FAM126A,84668,ENSDARG00000026762,fam126a
ENSG00000009724,MASP2,10747,ENSDARG00000007988,masp2
ENSG00000129422,MTUS1,57509,ENSDARG00000071562,mtus1a
ENSG00000100401,RANGAP1,5905,ENSDARG00000041317,rangap1a
ENSG00000250423,KIAA1210,57481,ENSDARG00000071697,zgc:66433
ENSG00000150995,ITPR1,3708,ENSDARG00000074149,itpr1b
ENSG00000163939,PBRM1,55193,ENSDARG00000003877,pbrm1
ENSG00000080644,CHRNA3,1136,ENSDARG00000100991,chrna3
ENSG00000130222,GADD45G,10912,ENSDARG00000019417,gadd45ga
ENSG00000156966,B3GNT7,93010,ENSDARG00000038489,b3gnt7
ENSG00000172757,CFL1,1072,ENSDARG00000021124,cfl1
ENSG00000159593,NAE1,8883,ENSDARG00000011301,nae1
ENSG00000118495,PLAGL1,5325,ENSDARG00000076657,plagl2
ENSG00000143776,CDC42BPA,8476,ENSDARG00000016464,cdc42bpab
ENSG00000143776,CDC42BPA,8476,ENSDARG00000104283,cdc42bpaa
ENSG00000002919,SNX11,29916,ENSDARG00000052522,snx11
ENSG00000102313,ITIH6,347365,ENSDARG00000056037,itih6
ENSG00000149257,SERPINH1,871,ENSDARG00000075954,serpinh1a
ENSG00000153132,CLGN,1047,ENSDARG00000009315,clgn
ENSG00000005108,THSD7A,221981,ENSDARG00000061479,thsd7aa
ENSG00000188779,SKOR1,390598,ENSDARG00000062448,skor1b
ENSG00000183876,ARSI,340075,ENSDARG00000077606,arsia
ENSG00000125247,TMTC4,84899,ENSDARG00000020447,tmtc4
ENSG00000100665,SERPINA4,5267,ENSDARG00000090850,serpina1l
ENSG00000086504,MRPL28,10573,ENSDARG00000057805,mrpl28
ENSG00000154027,AK5,26289,ENSDARG00000012555,ak5
ENSG00000254093,PINX1,54984,ENSDARG00000023532,pinx1
ENSG00000242259,C22orf39,128977,ENSDARG00000092360,si:ch211-51h9.6
ENSG00000148399,DPH7,92715,ENSDARG00000062083,dph7
ENSG00000198488,B3GNT6,192134,ENSDARG00000089094,si:dkey-160o24.3
ENSG00000121743,GJA3,2700,ENSDARG00000021889,gja3
ENSG00000243725,TTC4,7268,ENSDARG00000044405,ttc4
ENSG00000129521,EGLN3,112399,ENSDARG00000032553,egln3
ENSG00000127951,FGL2,10875,ENSDARG00000019861,fgl2a
ENSG00000170214,ADRA1B,147,ENSDARG00000011317,adra1ba
ENSG00000164985,PSIP1,11168,ENSDARG00000104710,psip1a
ENSG00000261115,TMEM178B,100507421,ENSDARG00000006747,tmem178b
ENSG00000164440,TXLNB,167838,ENSDARG00000076241,txlnbb
ENSG00000184185,KCNJ12,3768,ENSDARG00000104965,kcnj12a
ENSG00000099194,SCD,6319,ENSDARG00000030265,scdb
ENSG00000057294,PKP2,5318,ENSDARG00000023026,pkp2
ENSG00000090487,SPG21,51324,ENSDARG00000007760,spg21
ENSG00000126838,PZP,5858,ENSDARG00000041645,sb:cb37
ENSG00000130511,SSBP4,170463,ENSDARG00000056490,zgc:110158
ENSG00000173198,CYSLTR1,10800,ENSDARG00000058246,cysltr1
ENSG00000127124,HIVEP3,59269,ENSDARG00000075928,hivep3a
ENSG00000057663,ATG5,9474,ENSDARG00000023396,atg5
ENSG00000114125,RNF7,9616,ENSDARG00000055524,rnf7
ENSG00000142677,IL22RA1,58985,ENSDARG00000099342,crfb15
ENSG00000169291,SHE,126669,ENSDARG00000087956,she
ENSG00000115593,SMYD1,150572,ENSDARG00000009280,smyd1a
ENSG00000137959,IFI44L,10964,ENSDARG00000075791,si:dkey-79f11.5
ENSG00000137959,IFI44L,10964,ENSDARG00000029720,si:dkeyp-9d4.2
ENSG00000172175,MALT1,10892,ENSDARG00000077768,malt1
ENSG00000004660,CAMKK1,84254,ENSDARG00000035452,camkk1a
ENSG00000130427,EPO,2056,ENSDARG00000100737,epob
ENSG00000166535,A2ML1,144568,ENSDARG00000041645,sb:cb37
ENSG00000283706,PRSS50,29122,ENSDARG00000102727,si:ch73-182e20.4
ENSG00000244752,CRYBB2,1415,ENSDARG00000053512,crybb2
ENSG00000158955,WNT9B,7484,ENSDARG00000037889,wnt9b
ENSG00000001461,NIPAL3,57185,ENSDARG00000021147,nipal3
ENSG00000103264,FBXO31,79791,ENSDARG00000062195,fbxo31
ENSG00000162510,MATN1,4146,ENSDARG00000030215,matn1
ENSG00000100218,RSPH14,27156,ENSDARG00000017983,rsph14
ENSG00000213022,KLK9,284366,ENSDARG00000102727,si:ch73-182e20.4
ENSG00000115977,AAK1,22848,ENSDARG00000011855,aak1a
ENSG00000124091,GCNT7,140687,ENSDARG00000040608,gcnt7
ENSG00000149452,SLC22A8,9376,ENSDARG00000055523,slc22a6l
ENSG00000163435,ELF3,1999,ENSDARG00000077982,elf3
ENSG00000126003,PLAGL2,5326,ENSDARG00000076657,plagl2
ENSG00000066739,ATG2B,55102,ENSDARG00000097650,atg2b
ENSG00000175920,DOK7,285489,ENSDARG00000060236,dok7
ENSG00000169288,MRPL1,65008,ENSDARG00000054606,mrpl1
ENSG00000198242,RPL23A,6147,ENSDARG00000006316,rpl23a
ENSG00000147533,GOLGA7,51125,ENSDARG00000057676,golga7
ENSG00000140992,PDPK1,5170,ENSDARG00000018285,pdpk1b
ENSG00000205220,PSMB10,5699,ENSDARG00000043781,psmb10
ENSG00000162399,BSND,7809,ENSDARG00000086265,bsnd
ENSG00000115226,FNDC4,64838,ENSDARG00000043396,fndc4a
ENSG00000168539,CHRM1,1128,ENSDARG00000037292,chrm1a
ENSG00000203837,PNLIPRP3,119548,ENSDARG00000005332,lipib
ENSG00000133055,MYBPH,4608,ENSDARG00000003081,mybphb
ENSG00000171345,KRT19,3880,ENSDARG00000044975,krt94
ENSG00000157426,AASDH,132949,ENSDARG00000022730,aasdh
ENSG00000250021,ARPIN-AP3S2,100526783,ENSDARG00000041085,arpin
ENSG00000180423,HARBI1,283254,ENSDARG00000036038,harbi1
ENSG00000168394,TAP1,6890,ENSDARG00000079766,tap1
ENSG00000005100,DHX33,56919,ENSDARG00000051785,dhx33
ENSG00000164707,SLC13A4,26266,ENSDARG00000059053,slc13a4
ENSG00000146802,TMEM168,64418,ENSDARG00000068705,tmem168a
ENSG00000165171,METTL27,155368,ENSDARG00000069507,mettl27
ENSG00000179604,CDC42EP4,23580,ENSDARG00000045036,cdc42ep4b
ENSG00000051108,HERPUD1,9709,ENSDARG00000024314,herpud1
ENSG00000166398,KIAA0355,9710,ENSDARG00000105288,si:ch211-79l17.1
ENSG00000135124,P2RX4,5025,ENSDARG00000044752,p2rx4a
ENSG00000147874,HAUS6,54801,ENSDARG00000101652,haus6
ENSG00000154957,ZNF18,7566,ENSDARG00000078256,ovol1b
ENSG00000154957,ZNF18,7566,ENSDARG00000076657,plagl2
ENSG00000196821,ILRUN,64771,ENSDARG00000078075,ilrun
ENSG00000204301,NOTCH4,4855,ENSDARG00000021389,jag2b
ENSG00000137936,BCAR3,8412,ENSDARG00000016981,bcar3
ENSG00000124641,MED20,9477,ENSDARG00000046006,med20
ENSG00000189099,PRSS48,345062,ENSDARG00000102727,si:ch73-182e20.4
ENSG00000130383,FUT5,2527,ENSDARG00000102426,zgc:165519
ENSG00000130383,FUT5,2527,ENSDARG00000058299,zgc:173737
ENSG00000163114,PDHA2,5161,ENSDARG00000010555,pdha1b
ENSG00000130962,PRRG1,5638,ENSDARG00000043283,prrg1
ENSG00000135083,CCNJL,79616,ENSDARG00000077116,ccnjl
ENSG00000122042,UBL3,5412,ENSDARG00000099532,ubl3a
ENSG00000188015,S100A3,6274,ENSDARG00000055589,s100t
ENSG00000174371,EXO1,9156,ENSDARG00000056832,exo1
ENSG00000147679,UTP23,84294,ENSDARG00000105012,utp23
ENSG00000132329,RAMP1,10267,ENSDARG00000056704,RAMP1
ENSG00000141295,SCRN2,90507,ENSDARG00000043497,scrn2
ENSG00000002834,LASP1,3927,ENSDARG00000021200,nebl
ENSG00000164329,TENT2,167153,ENSDARG00000099679,tent2
ENSG00000204386,NEU1,4758,ENSDARG00000008832,neu1
ENSG00000163746,PLSCR2,57047,ENSDARG00000091614,si:dkey-62k3.6
ENSG00000163746,PLSCR2,57047,ENSDARG00000079075,si:ch211-71m22.3
ENSG00000111640,GAPDH,2597,ENSDARG00000043457,gapdh
ENSG00000135437,RDH5,5959,ENSDARG00000008306,rdh5
ENSG00000177791,MYOZ1,58529,ENSDARG00000056209,myoz1a
ENSG00000188064,WNT7B,7477,ENSDARG00000071107,wnt7bb
ENSG00000265818,EEF1E1-BLOC1S5,,ENSDARG00000071774,eef1e1
ENSG00000239887,C1orf226,400793,ENSDARG00000058701,nos1apb
ENSG00000122986,HVCN1,84329,ENSDARG00000040338,hvcn1
ENSG00000174527,MYO1H,283446,ENSDARG00000061968,myo1ha
ENSG00000126215,XRCC3,7517,ENSDARG00000017928,xrcc3
ENSG00000196754,S100A2,6273,ENSDARG00000055589,s100t
ENSG00000173698,ADGRG2,10149,ENSDARG00000094386,adgrg4b
ENSG00000165813,CCDC186,55088,ENSDARG00000061020,ccdc186
ENSG00000141622,RNF165,494470,ENSDARG00000077906,rnf165a
ENSG00000146707,POMZP3,22932,ENSDARG00000042129,zp3a.1
ENSG00000167107,ACSF2,80221,ENSDARG00000061201,acsf2
ENSG00000109445,ZNF330,27309,ENSDARG00000020494,znf330
ENSG00000163946,TASOR,23272,ENSDARG00000013346,tasorb
ENSG00000162032,SPSB3,90864,ENSDARG00000077487,spsb3b
ENSG00000181192,DHTKD1,55526,ENSDARG00000016415,dhtkd1
ENSG00000027001,MIPEP,4285,ENSDARG00000055339,si:ch73-1a9.4
ENSG00000277443,MARCKS,4082,ENSDARG00000004049,marcksa
ENSG00000138381,ASNSD1,54529,ENSDARG00000000540,asdurf
ENSG00000150630,VEGFC,7424,ENSDARG00000069640,vegfc
ENSG00000145860,RNF145,153830,ENSDARG00000032373,rnf145b
ENSG00000124733,MEA1,4201,ENSDARG00000039820,mea1
ENSG00000139351,SYCP3,50511,ENSDARG00000013438,sycp3
ENSG00000081721,DUSP12,11266,ENSDARG00000076330,dusp12
ENSG00000166887,VPS39,23339,ENSDARG00000074471,vps39
ENSG00000171222,SCAND1,51282,ENSDARG00000078256,ovol1b
ENSG00000171222,SCAND1,51282,ENSDARG00000076657,plagl2
ENSG00000172936,MYD88,4615,ENSDARG00000010169,myd88
ENSG00000137076,TLN1,7094,ENSDARG00000100729,tln1
ENSG00000172689,MS4A10,341116,ENSDARG00000090552,si:dkey-7j14.6
ENSG00000172689,MS4A10,341116,ENSDARG00000091970,ms4a17a.3
ENSG00000171951,SCG2,7857,ENSDARG00000038574,scg2b
ENSG00000174796,THAP6,152815,ENSDARG00000101320,si:dkey-50i6.5
ENSG00000011114,BTBD7,55727,ENSDARG00000003069,btbd7
ENSG00000157330,C1orf158,93190,ENSDARG00000032885,si:ch211-226m7.4
ENSG00000187889,FYB2,199920,ENSDARG00000086874,si:ch211-232i5.3
ENSG00000171124,FUT3,2525,ENSDARG00000102426,zgc:165519
ENSG00000171124,FUT3,2525,ENSDARG00000058299,zgc:173737
ENSG00000035403,VCL,7414,ENSDARG00000044968,vcla
ENSG00000005421,PON1,5444,ENSDARG00000016856,pon2
ENSG00000233276,GPX1,2876,ENSDARG00000003077,gpx9
ENSG00000184330,S100A7A,338324,ENSDARG00000055589,s100t
ENSG00000196642,RABL6,55684,ENSDARG00000077653,rabl6b
ENSG00000167103,PIP5KL1,138429,ENSDARG00000060946,pip5kl1
ENSG00000185198,PRSS57,400668,ENSDARG00000102727,si:ch73-182e20.4
ENSG00000152784,PRDM8,56978,ENSDARG00000092269,si:dkeyp-41f9.4
ENSG00000167685,ZNF444,55311,ENSDARG00000078256,ovol1b
ENSG00000167685,ZNF444,55311,ENSDARG00000076657,plagl2
ENSG00000172209,GPR22,2845,ENSDARG00000045383,gpr22b
ENSG00000177707,NECTIN3,25945,ENSDARG00000006604,nectin3b
ENSG00000285269,AL160269.1,11046,ENSDARG00000089837,slc35d2
ENSG00000114737,CISH,1154,ENSDARG00000060316,cish
ENSG00000185760,KCNQ5,56479,ENSDARG00000069954,kcnq5a
ENSG00000135469,COQ10A,93058,ENSDARG00000070393,COQ10A
ENSG00000176978,DPP7,29952,ENSDARG00000027750,dpp7
ENSG00000187840,EIF4EBP1,1978,ENSDARG00000043608,eif4ebp1
ENSG00000041988,THAP3,90326,ENSDARG00000101320,si:dkey-50i6.5
ENSG00000186051,TAL2,6887,ENSDARG00000042041,tal2
ENSG00000159189,C1QC,714,ENSDARG00000095627,c1qc
ENSG00000256453,DND1,373863,ENSDARG00000022813,dnd1
ENSG00000125337,KIF25,3834,ENSDARG00000017532,kif25
ENSG00000119912,IDE,3416,ENSDARG00000075570,ide
ENSG00000181751,C5orf30,90355,ENSDARG00000093498,C10H5orf30
ENSG00000133794,ARNTL,406,ENSDARG00000035732,arntl1b
ENSG00000055211,GINM1,116254,ENSDARG00000021975,ginm1
ENSG00000185917,SETD4,54093,ENSDARG00000036592,setd4
ENSG00000100632,ERH,2079,ENSDARG00000032866,erh
ENSG00000124614,RPS10,6204,ENSDARG00000034897,rps10
ENSG00000105819,PMPCB,9512,ENSDARG00000016979,pmpcb
ENSG00000154175,ABI3BP,25890,ENSDARG00000071095,abi3bpb
ENSG00000185437,SH3BGR,6450,ENSDARG00000021633,sh3bgr
ENSG00000284461,AC027644.4,,ENSDARG00000014430,rabgef1
ENSG00000116584,ARHGEF2,9181,ENSDARG00000040380,arhgef1a
ENSG00000104067,TJP1,7082,ENSDARG00000077506,tjp1a
ENSG00000126934,MAP2K2,5605,ENSDARG00000006609,map2k2a
ENSG00000166816,LDHD,197257,ENSDARG00000038845,ldhd
ENSG00000006125,AP2B1,163,ENSDARG00000035152,ap2b1
ENSG00000166257,SCN3B,55800,ENSDARG00000062359,scn3b
ENSG00000165059,PRKACG,5568,ENSDARG00000001782,prkacba
ENSG00000066422,ZBTB11,27107,ENSDARG00000017886,zbtb11
ENSG00000119630,PGF,5228,ENSDARG00000076767,pgfb
ENSG00000158716,DUSP23,54935,ENSDARG00000089245,dusp23b
ENSG00000151552,QDPR,5860,ENSDARG00000037378,qdprb1
ENSG00000115525,ST3GAL5,8869,ENSDARG00000037556,st3gal5
ENSG00000166926,MS4A6E,245802,ENSDARG00000090552,si:dkey-7j14.6
ENSG00000166926,MS4A6E,245802,ENSDARG00000091970,ms4a17a.3
ENSG00000138709,LARP1B,55132,ENSDARG00000061169,larp1b
ENSG00000175040,CHST2,9435,ENSDARG00000058585,chst2b
ENSG00000147144,CCDC120,90060,ENSDARG00000032856,ccdc120
ENSG00000159063,ALG8,79053,ENSDARG00000044627,alg8
ENSG00000145734,BDP1,55814,ENSDARG00000058630,zgc:162472
ENSG00000170681,CAVIN4,347273,ENSDARG00000056743,cavin4b
ENSG00000179407,DNAJB8,165721,ENSDARG00000041394,dnajb1b
ENSG00000160256,FAM207A,85395,ENSDARG00000071500,fam207a
ENSG00000187037,GPR141,353345,ENSDARG00000077026,si:dkey-94e7.1
ENSG00000143171,RXRG,6258,ENSDARG00000004697,rxrgb
ENSG00000171606,ZNF274,10782,ENSDARG00000078256,ovol1b
ENSG00000171606,ZNF274,10782,ENSDARG00000076657,plagl2
ENSG00000145868,FBXO38,81545,ENSDARG00000006924,fbxo38
ENSG00000152778,IFIT5,24138,ENSDARG00000090977,ifit12
ENSG00000170340,B3GNT2,10678,ENSDARG00000091902,b3gnt2b
ENSG00000184916,JAG2,3714,ENSDARG00000021389,jag2b
ENSG00000179958,DCTPP1,79077,ENSDARG00000054334,dctpp1
ENSG00000168397,ATG4B,23192,ENSDARG00000052104,atg4b
ENSG00000130164,LDLR,3949,ENSDARG00000075974,si:dkey-258f14.3
ENSG00000110887,DAO,1610,ENSDARG00000035603,dao.2
ENSG00000119801,YPEL5,51646,ENSDARG00000088929,ypel5
ENSG00000129460,NGDN,25983,ENSDARG00000045372,ngdn
ENSG00000162989,KCNJ3,3760,ENSDARG00000077165,kcnj3a
ENSG00000108474,PIGL,9487,ENSDARG00000067752,pigl
ENSG00000111339,ART4,420,ENSDARG00000094959,si:ch73-379f5.5
ENSG00000071677,PRLH,51052,ENSDARG00000071735,prlh2
ENSG00000101079,NDRG3,57446,ENSDARG00000010052,ndrg3b
ENSG00000186111,PIP5K1C,23396,ENSDARG00000100313,pip5k1cb
ENSG00000140830,TXNL4B,54957,ENSDARG00000058962,txnl4b
ENSG00000182175,RGMA,56963,ENSDARG00000012248,rgma
ENSG00000168275,COA6,388753,ENSDARG00000092677,coa6
ENSG00000153044,CENPH,64946,ENSDARG00000094892,cenph
ENSG00000126561,STAT5A,6776,ENSDARG00000055588,stat5b
ENSG00000152147,GEMIN6,79833,ENSDARG00000105394,gemin6
